2025-01-19 23:09:00,337 - INFO - Script started.
2025-01-19 23:09:02,384 - INFO - Loaded 338025 tokens.
2025-01-19 23:09:02,384 - INFO - 1 epoch = 82 batches.
2025-01-19 23:09:03,012 - INFO - Starting training...
2025-01-19 23:14:45,039 - INFO - Step 218, Loss: 5.421478748321533
2025-01-19 23:14:46,560 - INFO - Step 219, Loss: 5.556889057159424
2025-01-19 23:14:48,075 - INFO - Step 220, Loss: 5.860360145568848
2025-01-19 23:14:49,615 - INFO - Step 221, Loss: 5.703734397888184
2025-01-19 23:14:51,165 - INFO - Step 222, Loss: 5.381595611572266
2025-01-19 23:14:52,704 - INFO - Step 223, Loss: 5.489355564117432
2025-01-19 23:14:54,261 - INFO - Step 224, Loss: 5.455448627471924
2025-01-19 23:14:55,808 - INFO - Step 225, Loss: 5.357110023498535
2025-01-19 23:14:57,384 - INFO - Step 226, Loss: 5.331021308898926
2025-01-19 23:14:58,924 - INFO - Step 227, Loss: 5.184444427490234
2025-01-19 23:15:00,479 - INFO - Step 228, Loss: 5.088818073272705
2025-01-19 23:15:02,052 - INFO - Step 229, Loss: 5.299521446228027
2025-01-19 23:15:03,579 - INFO - Step 230, Loss: 5.343774795532227
2025-01-19 23:15:05,141 - INFO - Step 231, Loss: 5.276123523712158
2025-01-19 23:15:06,708 - INFO - Step 232, Loss: 5.262186527252197
2025-01-19 23:15:08,279 - INFO - Step 233, Loss: 5.0777692794799805
2025-01-19 23:15:09,816 - INFO - Step 234, Loss: 4.964932441711426
2025-01-19 23:15:11,330 - INFO - Step 235, Loss: 5.568138122558594
2025-01-19 23:15:12,872 - INFO - Step 236, Loss: 5.321919918060303
2025-01-19 23:15:14,380 - INFO - Step 237, Loss: 5.092911243438721
2025-01-19 23:15:15,899 - INFO - Step 238, Loss: 5.133914947509766
2025-01-19 23:15:17,407 - INFO - Step 239, Loss: 5.291884422302246
2025-01-19 23:15:18,913 - INFO - Step 240, Loss: 5.147072792053223
2025-01-19 23:15:20,479 - INFO - Step 241, Loss: 4.867977142333984
2025-01-19 23:15:22,039 - INFO - Step 242, Loss: 4.831088066101074
2025-01-19 23:15:23,555 - INFO - Step 243, Loss: 4.860910415649414
2025-01-19 23:15:25,054 - INFO - Step 244, Loss: 5.589463233947754
